path,category,filename,sizeKB,tags,mood,theme,suitableFor,notes
/images/blog/ai-doesnt-have-to-be-soulless-hero.png,blog,ai-doesnt-have-to-be-soulless-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/the-soul-frequency-framework-hero.png,blog,the-soul-frequency-framework-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/golden-age-of-intelligence-hero.png,blog,golden-age-of-intelligence-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/30-minute-creator-os-quick-start-hero.png,blog,30-minute-creator-os-quick-start-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-enterprise-deployment-guide-hero.png,blog,acos-enterprise-deployment-guide-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-hooks-system-quality-gates-hero.png,blog,acos-hooks-system-quality-gates-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-philosophy-technology-amplifies-hero.png,blog,acos-philosophy-technology-amplifies-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-use-cases-creator-types-hero.png,blog,acos-use-cases-creator-types-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-v10-autonomous-intelligence-hero.png,blog,acos-v10-autonomous-intelligence-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/acos-zero-to-production-quickstart-hero.png,blog,acos-zero-to-production-quickstart-hero.png,400,"hero,premium,acos-batch",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/agentic-ai-roadmap-2025-hero.png,blog,agentic-ai-roadmap-2025-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/agentic-creator-os-hero.png,blog,agentic-creator-os-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/agentic-seo-publishing-masterplan-hero.png,blog,agentic-seo-publishing-masterplan-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/agi-2026-opportunities-students-creators-hero.png,blog,agi-2026-opportunities-students-creators-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/ai-coe-launch-hero.png,blog,ai-coe-launch-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/ai-engineering-without-hype-willison-hero.png,blog,ai-engineering-without-hype-willison-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/claude-code-mastery-top-resources-hero.png,blog,claude-code-mastery-top-resources-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/mcp-doctor-claude-code-server-optimization-hero.png,blog,mcp-doctor-claude-code-server-optimization-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/creator-intelligence-systems-2026-hero.png,blog,creator-intelligence-systems-2026-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/karpathys-ai-vision-deep-dive-hero.png,blog,karpathys-ai-vision-deep-dive-hero.png,400,"hero,premium,continuation",branded,dark,"blog-hero",NEW autonomous continuation batch
/images/blog/best-ai-image-generators-2026-hero.png,blog,best-ai-image-generators-2026-hero.png,420,"hero,infogenius,ai-image-generators,comparison",branded,dark,"blog-hero,infographic",NEW top infogenius for best-ai-image-generators-2026 in winning dark-premium-glass shape
/images/blog/ai-doesnt-have-to-be-soulless.png,blog,ai-doesnt-have-to-be-soulless.png,979,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/30-minute-creator-os-quick-start.png,blog,30-minute-creator-os-quick-start.png,465,"hero,premium,acos-batch-v2",branded,light,"blog-hero",NEW premium batch 2 autonomous
/images/blog/ai-guide-for-families-and-professionals.png,blog,ai-guide-for-families-and-professionals.png,570,"hero,premium,acos-batch-v2",branded,light,"blog-hero",NEW premium batch 2 autonomous
/images/blog/build-your-own-jarvis-hero.png,blog,build-your-own-jarvis-hero.png,779,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/deal-flow-pipeline.png,blog,deal-flow-pipeline.png,614,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/building-research-intelligence-system-hero.png,blog,building-research-intelligence-system-hero.png,1164,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/claude-code-mcp.png,blog,claude-code-mcp.png,656,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/models/claude-opus-4-6-hero.png,models,claude-opus-4-6-hero.png,473,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/enterprise-agent-roadmap-hero.png,blog,enterprise-agent-roadmap-hero.png,949,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/eu-inc-28th-regime-european-startups-hero.png,blog,eu-inc-28th-regime-european-startups-hero.png,885,"hero,premium,acos-batch-v2",branded,dark,"blog-hero",NEW premium batch 2 autonomous
/images/blog/frankx-business-plan-canvas-hero.png,blog,frankx-business-plan-canvas-hero.png,505,"hero,premium,acos-batch-v3",branded,light,"blog-hero",NEW premium batch 3 autonomous
/images/blog/frankx-intelligence-atlas-volume-1-hero.png,blog,frankx-intelligence-atlas-volume-1-hero.png,1290,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/frankx-vision-mission-values-hero.png,blog,frankx-vision-mission-values-hero.png,562,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/golden-age-field-guide-hero.png,blog,golden-age-field-guide-hero.png,1080,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/iacos-research-os.png,blog,iacos-research-os.png,804,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/intelligence-revolution-hero.png,blog,intelligence-revolution-hero.png,820,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/misinformation-guardian-hackathon-hero.png,blog,misinformation-guardian-hackathon-hero.png,829,"hero,premium,acos-batch-v3",branded,dark,"blog-hero",NEW premium batch 3 autonomous
/images/blog/nvidia-ces-2026-physical-ai-revolution-hero.png,blog,nvidia-ces-2026-physical-ai-revolution-hero.png,980,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/observability-stack-multi-agent-systems-2026-hero.png,blog,observability-stack-multi-agent-systems-2026-hero.png,833,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/oracle-genai-agents-vs-langgraph-crewai-2026-hero.png,blog,oracle-genai-agents-vs-langgraph-crewai-2026-hero.png,822,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/personal-ai-assistant-setup-workshop-hero.png,blog,personal-ai-assistant-setup-workshop-hero.png,705,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/production-agent-patterns-7-pillars-hero.png,blog,production-agent-patterns-7-pillars-hero.png,763,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/production-agent-patterns-aws-bedrock-hero.png,blog,production-agent-patterns-aws-bedrock-hero.png,970,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/production-llm-agents-oci-part-1-architecture-hero.png,blog,production-llm-agents-oci-part-1-architecture-hero.png,897,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/production-llm-agents-oci-part-2-agent-patterns-hero.png,blog,production-llm-agents-oci-part-2-agent-patterns-hero.png,793,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/production-llm-agents-oci-part-3-operating-model-hero.png,blog,production-llm-agents-oci-part-3-operating-model-hero.png,685,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/props-to-the-builders-of-this-era-hero.png,blog,props-to-the-builders-of-this-era-hero.png,889,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/reader-first-golden-age-hero.png,blog,reader-first-golden-age-hero.png,634,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/science-of-state-change-music-hero.png,blog,science-of-state-change-music-hero.png,737,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/seo-aeo-optimization-acos-hero.png,blog,seo-aeo-optimization-acos-hero.png,714,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/gemini-3-5-pro-analysis-2026-hero.png,blog,gemini-3-5-pro-analysis-2026-hero.png,919,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/gemma-3-analysis-2026-hero.png,blog,gemma-3-analysis-2026-hero.png,900,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/gpt-oss-analysis-2026-hero-v5.jpg,blog,gpt-oss-analysis-2026-hero-v5.jpg,245,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/kimi-k2-analysis-2026-hero-v5.jpg,blog,kimi-k2-analysis-2026-hero-v5.jpg,346,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/llama-4-analysis-2026-hero-v5.jpg,blog,llama-4-analysis-2026-hero-v5.jpg,279,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/llm-evals-claude-code-guide-hero-v5.jpg,blog,llm-evals-claude-code-guide-hero-v5.jpg,198,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/microsoft-mai-frontier-models-2026-hero-v5.jpg,blog,microsoft-mai-frontier-models-2026-hero-v5.jpg,180,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/mistral-large-3-analysis-2026-hero-v5.jpg,blog,mistral-large-3-analysis-2026-hero-v5.jpg,274,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
/images/blog/qwen3-max-analysis-2026-hero-v5.jpg,blog,qwen3-max-analysis-2026-hero-v5.jpg,226,"hero,premium,acos-batch-v3-svg-replaces",branded,dark,"blog-hero",NEW premium batch 3 autonomous replacements
