"platform","category","evidence_status","primary_use_case","public_pricing_2026","web_mobile_model","branded_app_model","visual_customization_ceiling","information_architecture_customization","api_webhooks_sdk_headless","ai_mcp_agent_integration","data_export_and_ownership","developer_account_ownership","monetization_and_fees","migration_risk","maturity","best_fit_100k_creator","verdict","primary_source_urls","last_verified"
"Disco","Learning and community suite","verified_live","AI-native academies, cohorts, social learning, and transformation programs","Pricing page currently renders Organization at both $399 and $499/mo billed annually; Enterprise custom; obtain written quote","Branded responsive web academy; mobile web; managed apps on select Enterprise plans","Branded iOS/Android apps on select Enterprise plans","Enterprise configurable","Academy, cohorts, courses, community, events, AI agents, custom domain, navigation, roles, and learning flows","API and webhooks on Enterprise; SAML SSO and sandbox","Native AI agents for admins and members; no official external MCP found","Enterprise migration service exists; test export coverage for learning progress, social content, events, and AI artifacts","Customer Apple/Google developer accounts are documented for custom branded app","Subscription and commerce terms require quote; no reliable single public Organization price due page inconsistency","Medium — enterprise APIs help, but learning/community structure and managed app remain vendor-specific","Growth-stage enterprise learning platform","Excellent if transformation academy and learning operations are the product","CONDITIONAL SHORTLIST — learning-first","https://www.disco.co/pricing | https://www.disco.co/platform/white-label-lms | https://support.disco.co/hc/en-us/articles/38161469725844-Custom-Branded-App","2026-07-27"
"Kajabi","Learning, marketing, and community suite","verified_live","Courses, funnels, email, commerce, coaching, and community in one business suite","Annual-equivalent Basic $143/mo, Growth $199/mo, Pro $399/mo; monthly $179/$249/$499","Responsive branded site plus shared Kajabi customer app","Own-brand app included Pro or $199/mo add-on; managed by Kajabi","Managed white-label suite","Custom pages, sites, products, funnels, courses, community, home screens, and custom code on higher plan; social model remains Kajabi-defined","Public API included Pro or $25/mo add-on; inbound/outbound webhooks; custom code editor on Pro","Official hosted Kajabi OAuth MCP on every plan; granular scopes; broad business and Community reads/writes; draftable content can be created as drafts, but some actions publish immediately, so permission-gate every write; no payment processing","Contacts/products/orders can be exported; verify community posts, DMs, progress, automations, and recurring-payment migration","Kajabi builds and maintains app; obtain developer-account, listing, bundle-ID, and transfer terms","Kajabi Payments 2.9%/2.8%/2.7% + $0.30 by plan in US; third-party-provider fee 2%/1%/0.5% plus processor","Medium — strong business exports but deep community and app continuity require diligence","Established","Strong when the creator needs one funnel/commerce/course stack more than a novel social product","CONDITIONAL SHORTLIST — all-in-one business, not custom social engine","https://www.kajabi.com/product/mcp | https://help.kajabi.com/articles/api-integrations/connect-kajabi-to-claude-or-chatgpt | https://www.kajabi.com/pricing | https://help.kajabi.com/articles/api-integrations/public-api/using-kajabis-public-api | https://help.kajabi.com/articles/mobile-apps/branded-app/kajabi-branded-app-overview","2026-07-27"
"Thinkific","Learning and community suite","verified_live","Course business, memberships, cohorts, communities, and student progress","Current until 2026-08-13: Basic $49, Start $99, Grow $199 monthly; announced $54/$109/$219 and annual-equivalent $40/$82/$164 from 2026-08-13; Expand $499","Responsive school plus shared Thinkific mobile app","Branded Mobile add-on $199/mo; own listing managed with Thinkific","Managed branded learning app","Themes, HTML/CSS, site pages, products, courses, communities, and learner hub; learning IA is stronger than peer-network IA","Mature Public APIs, Liquid API, app store, webhooks; plan access must be confirmed","Official Thinkific MCP beta on Plus; OAuth; owner/admin only; read-only courses, learners, enrollments, bundles and products; Claude available while ChatGPT is in closed beta and rolling out","User/order/course exports and APIs exist; test community, message, progress, subscription, and media portability","Customer must create Apple and Google developer accounts for Branded Mobile","No Thinkific platform transaction fee when using Thinkific Payments; third-party gateway fee 5%/2%/1%/0.5% by Basic/Start/Grow/Expand in applicable countries plus processor","Medium — strong learning data access; branded app and community history still need exit testing","Established","Good course-first finalist with a credible own-app route","CONDITIONAL SHORTLIST — course-first","https://www.thinkific.com/pricing/ | https://support.thinkific.com/hc/en-us/articles/41120594632343-Introducing-the-Thinkific-MCP-Manage-Your-School-Directly-from-an-AI-Agent | https://support.thinkific.com/hc/en-us/articles/41843662108567-How-to-Connect-Thinkific-to-ChatGPT | https://support.thinkific.com/hc/en-us/articles/41582716364567-Thinkific-s-2026-Plan-Pricing-Update-What-It-Means-for-You | https://support.thinkific.com/hc/en-us/articles/13166713617431-Get-Started-with-Your-Branded-Mobile-App","2026-07-27"
"Teachable","Learning and community suite","verified_live","Courses, coaching, memberships, digital products, and lightweight community","Monthly Starter $39, Builder $89, Growth $189; annual-equivalent $29/$69/$139; Educators custom","Responsive school plus shared Teachable iOS/Android student apps","No standard creator-owned branded app offer found","Configurable learning suite","Course/product/site customization; community is newer and shallower than dedicated community tools","Public API and webhooks exist; availability is plan-dependent","Official vendor experimental Teachable MCP local bundle on Growth+ with a Public API key; current setup targets macOS and Claude Desktop/Claude Code; manages courses, users and transaction data; use at own risk","Student, transaction, and product exports exist; test community content, discussions, and mobile continuity","Shared Teachable student app; no creator store account on standard plans","7.5% platform fee Starter; 0% Builder/Growth, plus payment processing and applicable back-office fees","Medium-high — courses and students are portable; community behavior and shared app are less owned","Established","Good for course-commerce validation; weak for a high-customization community destination","UTILITY/CONDITIONAL — course-first only","https://www.teachable.com/pricing | https://support.teachable.com/en/articles/12803288-teachable-mcp-installation-guide | https://www.teachable.com/blog/thrive-2025-recap | https://support.teachable.com/en/articles/11682612","2026-07-27"
"LearnWorlds","Learning and community suite","verified_live","Interactive courses, academies, communities, assessments, and credentials","Annual-equivalent Starter $24/mo + $5 enrollment, Pro Trainer $79, Learning Center $249; monthly $29/$99/$299; enterprise custom","Responsive white-label school; native app builder available separately","Branded iOS/Android mobile app builder starts at $149/mo in public product material","Managed branded learning app","Deep course, website, interactive video, community, role, funnel, assessment, and learning-path configuration","API, webhooks, and SSO on Learning Center; integrations lower down","LearnWorlds AI and AI insights; no official MCP found; agent buildable on Learning Center API","User/progress/course exports and APIs exist; test community threads, files, subscriptions, and analytics portability","Customer Apple/Google developer accounts required for branded mobile app","Starter charges $5/course enrollment; higher plans list no transaction fees; processor/app-store fees apply","Medium — capable LMS exports but managed app and proprietary learning objects create migration work","Established","Strong for a sophisticated learning academy with an own app","CONDITIONAL SHORTLIST — learning/app-first","https://www.learnworlds.com/pricing/ | https://www.learnworlds.com/product/features/mobile-app/ | https://support.learnworlds.com/support/solutions/articles/12000108295-before-purchasing-a-learnworlds-mobile-app","2026-07-27"
"Uscreen","Video membership suite","verified_live","Video subscriptions, livestreaming, fitness, and OTT membership","Starter $49/mo; Growth $149/mo annual or $199 monthly; App Essentials $449 annual or $499 monthly; Custom","Branded web video catalog; member apps by tier","App Essentials includes iOS and Android; higher custom plans add TV and deeper features","Managed branded video app","Strong video catalog, livestream, subscription, and content navigation; community is not the primary model on lower tiers","API and deeper community features are custom-plan territory","Official hosted OAuth Uscreen MCP beta for stores with developer/API access and New Website Editor; owner-controlled team permissions; role-scoped analytics, finance, CRM, catalog and product reads plus CMS/CRM writes","Subscriber and video-business exports exist; test watch history, community activity, entitlements, and app migration","Managed store publishing; confirm developer account and listing-transfer ownership","Growth adds $1.99/subscriber and 5% one-time sales; App Essentials adds $0.99/subscriber; verify processor/store fees","Medium — video assets can be retained, but app subscriptions, watch history, and member experience are vendor-specific","Established","Best when video or fitness is the paid product and community supports it","CONDITIONAL SHORTLIST — video-first only","https://www.uscreen.tv/pricing/ | https://help.uscreen.tv/en/articles/15643974-uscreen-mcp","2026-07-27"
"Passion.io","App-first learning and coaching suite","verified_live","Guided transformation, coaching, challenges, courses, and mobile programs","Annual-equivalent Launch $99/mo, Scale $239, Expand $599; monthly $119/$299/$699; Plus custom","Web, iOS, and Android experiences built in no-code app builder","Own-brand App Store submission on higher tier; plan-specific","Managed no-code branded app","Custom branding, navigation, content sequences, tracking, communities, and app screens within Passion.io components","Zapier and integrations; no strong public general API/headless offer found","AI-assisted app/program creation; no official MCP found; agent extensibility is limited without public API","Customer and commerce exports must be tested; content should be retained independently","Creator gets own app listing; developer-account, bundle-ID, signing, and transfer mechanics must be confirmed","Public material cites 3.9% web checkout + Stripe; app stores generally 15–30%; external checkout economics vary by plan","Medium-high — app builder and store release are vendor-dependent; no strong headless escape hatch","Growth-stage","Best if the signature product is a guided mobile transformation, not an open social network","CONDITIONAL SHORTLIST — app-first program","https://passion.io/blog/passion-io-pricing-branded-app-alternative-to-patreon","2026-07-27"
"Disciple","White-label app-first community","verified_live","Mobile-first membership, coaching, fan, and branded community","Annual-equivalent Branded App $399/mo; higher Plus; Pro $999/mo with API; Organization custom","Branded web and native mobile community","Own-brand iOS/Android app is the core product","Managed white-label app","Brand, groups, courses, content, community, events, and navigation within managed product templates","Documented API covers users, groups, posts, comments, events, subscriptions, and webhooks on Pro","Native AI is not the main proposition; no official MCP found; custom agent buildable on Pro API","API breadth is good; test exports for DMs, media, analytics, payments, and deleted users","Customer organization Apple developer account is required/documented; confirm Google account and bundle transfer similarly","0% platform fee is vendor positioning; subscription, processor, in-app purchase, implementation, and messaging costs apply","Medium — comparatively good API and own store account, but managed app source and UI remain vendor-owned","Established","Best general-purpose option when own App Store presence is mandatory from day one","CONDITIONAL SHORTLIST — branded-app specialist","https://www.disciple.community/pricing | https://api-docs.disciplemedia.com/ | https://help.disciplemedia.com/hc/en-gb/articles/6323340298385-9-Steps-to-Get-your-Apple-Developer-Account","2026-07-27"
"Honeycommb","White-label app-first community","verified_live","Independent branded social network and membership","Base from $24.99/mo for 1–100 registered members; mobile apps $299/mo + $1,499 launch; white-label bundle $149/mo; own developer accounts +$99/mo","Branded web network; mobile add-on","Dedicated iOS/Android apps as add-on; own developer-account option costs extra","Managed white-label social network","Configurable social feed, groups, profiles, monetization, branding, and content; product interaction model remains fixed","Integrations, webhooks, and Zapier are public; confirm full API scope and rate limits","No official MCP found; agent buildability depends on contracted API scope","Confirm bulk member, post, message, file, subscription, and analytics exports before contract","Own developer accounts available as paid add-on; otherwise clarify vendor ownership and transferability","5% fee on subscriptions plus plan, app, launch, white-label, developer-account, processor, and possible usage costs","Medium-high — many add-ons, annual mobile term, and data/API scope need careful contract design","Established niche","Possible own-network option, but price all add-ons against stronger finalists","CONDITIONAL — diligence-heavy","https://www.honeycommb.com/pricing","2026-07-27"
"BuddyBoss","Source-extensible WordPress community","verified_live","Owned WordPress community, courses, groups, memberships, and native app","Web Pro about $299/yr promotional/current; Plus about $349/yr; mobile base setup $299 + $99/mo; done-for-you example $1,999 + $179/mo","WordPress web plus React Native mobile app","Own App Store/Play listings; vendor product with source/Git-based developer extension","Source-extensible","Deep WordPress theme/plugin control, groups, feeds, profiles, courses, membership, and custom development","WordPress REST API, hooks, plugins, app Git repository, and developer extension","No official MCP found; straightforward to build custom agents through WordPress/BuddyBoss APIs and database under team control","Data resides in customer WordPress/database; exportability is high, subject to plugin schemas and media storage","Customer owns Apple/Google developer accounts and listings","License/subscription plus hosting, plugins, payments, email/video, app service, and engineering; no inherent revenue share","Medium — code/data ownership lowers lock-in, while plugin debt and mobile release operations raise execution risk","Established","Best middle path when the team wants ownership and can operate WordPress/mobile engineering","CONDITIONAL SHORTLIST — source-extensible path","https://buddyboss.com/pricing/ | https://buddyboss.com/mobile-app/ | https://buddyboss.com/resources/developers/","2026-07-27"
"phpFox / MetaFox","Source-owned social platform","verified_live","Independent social network, marketplace, groups, content, and mobile apps","Perpetual Pro $299 and Ultimate $899; subscriptions Pro $39/mo, Ultimate $99, Ultimate Plus $159; verify implementation costs","Self-hosted/source-controlled web and React Native mobile","White-label mobile apps and mobile source on qualifying tier","Source-owned","High control over web, backend, mobile, modules, themes, permissions, and data model","Source code, APIs, modules, and custom integrations; exact API coverage depends on edition","No official MCP found; custom agents are buildable because source and backend are controlled","Customer controls hosting/database and can build complete exports; migration quality is the operator’s responsibility","Customer owns developer accounts, binaries, and source on qualifying edition","License/subscription plus hosting, implementation, maintenance, processors, stores, moderation, and engineering; vendor promotes 0 platform fees","Medium — low vendor lock-in but high operational and upgrade responsibility","Established niche","Viable when source ownership is essential and the team can invest in design and operations","CONDITIONAL SHORTLIST — source-owned path","https://www.phpfox.com/pricing/ | https://www.phpfox.com/native-mobile-app/ | https://trial.phpfox.com/","2026-07-27"
"TopFan","Fan and white-label membership platform","verified_press_plus_live_operator","Fan clubs, exclusive content, merch, music, livestreaming, ticketing, and direct fan data","No upfront platform fee reported; revenue share; public developer-site pricing shows 15% content/subscriptions and 5% merch/ticketing plus processing","Own-brand web and mobile proposition","Axios reports custom-branded mobile apps under creator name; verify actual delivery and account terms","Managed fan platform","Fan feed, content, commerce, messaging, courses, live, merch, and communication; interface is managed","Public developer/API terms are not sufficiently clear; confirm integrations and export APIs during pilot","No official MCP found; AI is not the main proposition","Vendor/CEO says creator owns audience data; test actual exports across fans, content, messages, purchases, and subscriptions","Own-brand app is offered; developer-account, bundle-ID, signing, and transfer ownership require contract review","Axios: creator keeps 95% merch/tickets, 85% content/subscriptions, 70–85% ads; processing also applies","Medium-high — creator offer is new in 2026 and revenue share compounds at scale; app/API exit terms need validation","Established operator; new self-serve/creator offer","Highly relevant low-upfront pilot for a 100k influencer with fan-commerce economics","CONDITIONAL SHORTLIST — fan-platform pilot","https://www.axios.com/2026/02/17/topfan-creator-platform-launch | https://www7.topfans.dev/pricing/","2026-07-27"
"VewMe","Fan and white-label membership platform","watchlist_new_launch","Branded subscriptions, pay-per-view, live video, events, messaging, and digital goods","Live page shows annual Pro example $397/yr and creator keeps up to 90%; full tier display is dynamic; obtain written fee schedule","Custom-domain branded web product","No independently verified native branded app delivery found","Managed white-label web","Claims full branding, custom domain, subscriptions, content, live, events, analytics, and supporter export","No sufficiently documented public API, webhooks, SDK, or headless system found","No official MCP found","Claims supporter/content ownership and export-anytime; independently test all export surfaces","No clear native developer-account model","Claims creator keeps 85–90% depending plan, with processing included/varied; obtain complete contract","Very high — public launch is days old as of evidence date and operational claims are not independently proven","New launch/watchlist","Do not migrate a large audience; sandbox and obtain customer references first","WATCH ONLY","https://vewme.com/ | https://markets.businessinsider.com/news/stocks/vewme-announces-full-public-launch-of-its-white-label-community-and-membership-platform-1036341147","2026-07-27"
"Fourthwall","Fan commerce and membership","verified_live","Creator-owned storefront, merch, digital products, memberships, and gated content","No monthly/upfront fee; current FAQ says 5% memberships and 5% digital products plus processing","Creator-branded custom-domain website plus free installable branded mobile web app/PWA with push; social/Discord integrations","Branded mobile web app is automatic with Memberships; Fourthwall explicitly says it is not a regular App Store/Google Play app","Extensible branded storefront","No-code site, memberships, gated content, commerce, embedded sections, and custom storefront via APIs; peer-community structure is shallow","Platform API, Storefront API, webhooks, apps, embedded sections","Official hosted Fourthwall MCP at https://mcp.fourthwall.com over Streamable HTTP with OAuth 2.0; broad read and live write/management tools across products, collections, promotions, orders/refunds, gift cards, shop state and product design; writes modify live data and the assistant only typically confirms, so keep destructive tools approval-gated and least-privileged","Creator-branded site and APIs; test member/content/order exports; preserve source media and customer ledger","No developer account for the standard PWA because it is installed from the browser, not an app store","5% memberships and digital products in current FAQ; catalog/self-sourced product economics differ; US card processing 2.9% + $0.30","Low-medium — strong domain/API position, but memberships/payments and any gated community content still need export tests","Established growth platform","Excellent commerce and audience-ownership edge paired with Circle/Mighty/own site","SHORTLIST AS UTILITY LAYER — not peer-community core","https://fourthwall.com/faq | https://fourthwall.com/memberships | https://fourthwall.com/features/custom-mobile-apps | https://docs.fourthwall.com/ | https://docs.fourthwall.com/ai/mcp | https://docs.fourthwall.com/embedded-sections/overview","2026-07-27"
"Patreon","Fan membership network","verified_live","Paid creator membership, posts, chats, DMs, newsletters, and benefits","New creators: 10% platform fee since 2025-08-04, plus processing and other applicable charges","Shared Patreon web and mobile apps","No creator-owned app","Template marketplace","Tiers, posts, collections, chats, comments, newsletters, and shop within Patreon’s IA","Limited developer ecosystem; not a headless community foundation","Native product AI may evolve; no official creator-operations MCP found","Email/member lists can be exported; preserve content and customer data; interaction graph and app experience are not portable","Not applicable; Patreon owns shared apps","10% platform fee for new creators plus payment processing, currency conversion, payout, and taxes where applicable","High — audience can be exported, but product, payments, chats, content presentation, and discovery remain platform-centric","Established","Fast paid-demand validation; poor fit for high customization and own app ambitions","UTILITY — validate monetization, not final platform","https://www.patreon.com/product/pricing | https://support.patreon.com/hc/en-us/articles/36426991446797-A-standard-platform-fee-for-new-creators-effective-after-August-4-2025","2026-07-27"
"Memberful","Membership and entitlement layer","verified_live","Paid memberships and gated access on an owned website or Discord","$49/mo + 4.9% transaction fee","Embedded/hosted membership pages integrated with creator-owned website","No native branded community app","Headless/extensible entitlement layer","Custom themes, dynamic paywalls, newsletters, website integration, and Discord access; no rich native social community","Documented API, webhooks, WordPress integration, and custom themes","No official MCP found; membership agent is buildable through API/webhooks","Direct Stripe relationship plus member/payment CSV import/export provides comparatively strong portability","Not applicable unless creator builds own app around API","$49/mo + 4.9% transaction fee plus Stripe processing","Low-medium — entitlement data is portable; any connected community/content system has its own migration risk","Established","Strong if the creator wants to own the primary site and add membership without adopting a community shell","SHORTLIST AS UTILITY LAYER","https://memberful.com/pricing | https://memberful.com/docs/api-reference/memberful-api | https://memberful.com/docs/webhook-event-reference | https://memberful.com/communities","2026-07-27"
