"domain","decision_question","evidence_to_request","minimum_pass_condition","red_flag","owner","stage"
"Accessibility","Has the actual member experience been tested to WCAG 2.2 AA?","VPAT or audit, keyboard demo, screen-reader demo, captions, and remediation SLA","Critical journeys pass keyboard, focus, contrast, labeling, and zoom checks","Accessibility is answered with an unsupported compliance badge","Design","Pilot"
"Security program","What independent assurance covers the platform and its subprocessors?","SOC 2 or equivalent report, penetration-test summary, vulnerability process, and security contact","Evidence is current, scoped to the purchased service, and material findings are remediated","Only a generic security page or self-attestation is available","Security","Before contract"
"Data residency","Where are production data, backups, logs, and AI requests processed?","Architecture diagram, region list, subprocessor register, and transfer mechanism","Residency and cross-border transfers meet the community's legal requirements","The vendor cannot map backups or AI subprocessors to regions","Privacy","Before contract"
"Deletion","Can one member and the whole tenant be deleted from active systems and backups?","Deletion workflow, retention schedule, backup expiry, and completed test ticket","Timelines and exceptions are contractual and a member request can be verified","Deletion means only hiding an account","Privacy","Pilot"
"Availability","What reliability does the critical member journey actually receive?","Twelve-month status history, SLA, incident samples, RTO, and RPO","The service target matches launch risk and recovery responsibilities are explicit","The SLA excludes the app, API, video, payments, or major dependencies","Engineering","Before contract"
"Scale","Has the exact plan supported comparable concurrency, media, and notification volume?","Reference customers, load-test evidence, quota sheet, and a launch-day escalation plan","Limits and surge procedures cover the modeled 100K-audience launch","Scale is inferred from total registered users rather than concurrent behavior","Engineering","Before launch"
"Moderation","Can staff prevent, detect, review, appeal, and document abuse?","Role matrix, queues, reporting flow, rate limits, ban evasion controls, and audit export","Safety workflows cover the expected harms and preserve an appeal trail","AI moderation is offered without human review or policy controls","Trust and safety","Pilot"
"Support","Who owns an incident across platform, payments, app stores, and integrations?","Escalation matrix, support hours, severity definitions, and reference tickets","Named ownership and response targets exist for launch-critical incidents","Each vendor redirects responsibility to another provider","Operations","Before contract"
"Total cost","What is the 24-month cost at base, growth, and surge scenarios?","Plan, overage, transaction, app, API, email, video, migration, service, and engineering costs","The downside scenario fits the model and every metered dimension has an alert","Headline subscription price omits mandatory implementation or usage costs","Finance","Before contract"
"Contract change","Can pricing, quotas, and material features change during the term?","Order form, price-protection language, deprecation policy, and renewal cap","Material economics and required capabilities are protected for the pilot and migration window","The vendor may remove features or multiply price without an exit period","Legal","Before contract"
"Exit plan","Can the team leave within 30 days without losing identity, revenue, or history?","Written runbook, sample exports, API tests, app-transfer terms, and deletion certificate","A timed exit rehearsal succeeds before the full audience is migrated","Exit depends on goodwill, custom consulting, or a future feature","Program lead","Before launch"
"References","Have comparable customers confirmed the operating reality?","Two reference calls with similar scale, paid model, app model, and customization needs","References validate support, exports, releases, and limits—not only onboarding","Only testimonials selected by marketing are available","Founder","Before contract"
"Pilot gate","What evidence permits renewal, expansion, headless work, or a custom build?","Signed 30/60/90 scorecard with owners and thresholds","Architecture spend is released only when activation, retention, economics, and a repeated constraint clear their gates","The next build phase is scheduled before member behavior is measured","Founder","Before launch"
