slug,file,status_bucket,title,date,author,category,featured,image,image_file_exists,resolved_hero,header_class,vs_hero,vs_generationMode,vs_reviewStatus,vs_prompt,vs_infographic,word_count,body_image_count,body_svg_count,internal_link_count,has_cta,agent_author_meta,last_reviewed,description
ai-image-video-generation-playbook-2026,ai-image-video-generation-playbook-2026.mdx,published_tree,"The 2026 AI Image & Video Playbook: Which Model, Which Subscription, Zero Extra API Cost",2026-06-06,Frank,AI Architecture,,/images/blog/ai-image-video-generation-playbook-2026-hero-v5.jpg,False,/images/blog/ai-image-video-generation-playbook-2026-hero.png,raster_other,/images/blog/generated/ai-image-video-generation-playbook-2026-premium-hero.png,built-in-image-gen,accepted-premium-bitmap,"Built-in image_gen premium FrankX hero: sophisticated creative generation studio console with image frames, video timelines, camera volumes, and model pipelines converging into a cinematic output wall; emerald/cyan, restrained amber, no text or logos.",/images/blog/visual-system/infographics/ai-image-video-generation-playbook-2026-map.svg,699,0,0,1,False,,,"Most creators pay twice for AI images — once for the subscription, again for the API. Here's the decision table: which engine to use, which plan already includes it, and the rare times paying per-call"
ai-model-routing-guide,ai-model-routing-guide.mdx,published_tree,The AI Model Routing Guide: Which Model for Which Agent (Q2 2026 Edition),2026-06-10,Frank,Intelligence Dispatches,true,/images/blog/ai-model-routing-guide-hero-v5.jpg,False,/images/blog/ai-model-routing-guide-hero.svg,svg_or_visual_system,/images/blog/generated/ai-model-routing-guide-premium-hero.png,built-in-image-gen,accepted-premium-bitmap,"Built-in image_gen premium FrankX hero: model routing as a transparent high-throughput switchboard taking multiple model families and routing them into one output lane, dark glass hardware, emerald/cyan flows, amber telemetry, no readable text, no logos, no stock look.",/images/blog/visual-system/infographics/ai-model-routing-guide-map.svg,1249,0,0,8,False,,,"The working AI Architect's routing matrix as a narrative: which frontier model runs your coding agents, review gates, fan-out workers, and sovereign stacks — with prices, evidence grades, and the pers"
ai-skills-operating-layer,ai-skills-operating-layer.mdx,published_tree,AI Skills Are the New Operating Layer,2026-06-15,FrankX,Intelligence Dispatches,true,/images/blog/generated/ai-skills-operating-layer-premium-hero.png,True,/images/blog/generated/ai-skills-operating-layer-premium-hero.png,premium_raster,/images/blog/generated/ai-skills-operating-layer-premium-hero.png,built-in-image-gen,accepted,"Built-in image_gen premium FrankX hero: AI Skills Are the New Operating Layer. Regenerated layered OS visual; strong systems metaphor. Dark-first obsidian cinematic technical editorial; emerald/cyan spectrum with restrained amber; no readable text, no letters, no logos, no people, no robots, no watermark, no generic AI brain, no stock-photo laptop composition.",,930,0,0,4,False,,,"Why AI skills are not prompt snippets, but reusable operating knowledge for founders, startups, and enterprise AI teams."
ai-video-generation-2026-sora-runway-kling-veo,ai-video-generation-2026-sora-runway-kling-veo.mdx,published_tree,"AI Video Generation in 2026: Sora, Runway, Kling, Veo",2026-03-21,FrankX,Intelligence Dispatches,false,/images/blog/generated/ai-video-generation-2026-sora-runway-kling-veo-premium-hero.png,True,/images/blog/generated/ai-video-generation-2026-sora-runway-kling-veo-premium-hero.png,premium_raster,/images/blog/generated/ai-video-generation-2026-sora-runway-kling-veo-premium-hero.png,built-in-image-gen,accepted-premium-bitmap,"Built-in image_gen premium FrankX hero: four abstract AI video model engines feeding one film-quality synthesis pipeline with glass reels, volumetric light, timelines, and camera rigs; no brand logos, no text, no people.",,2945,0,0,8,False,,,"Every major AI video tool compared — quality, speed, pricing, and which to use for short-form, long-form, and creative production."
ai-workshops-for-students-what-worked,ai-workshops-for-students-what-worked.mdx,published_tree,AI Workshops for Students: What Actually Worked,2026-03-21,FrankX,Creator Systems,false,/images/blog/ai-workshops-for-students-what-worked-hero-v6.jpg,False,/images/blog/editorial/headers/ai-workshops-for-students-what-worked-hero.webp,raster_other,,,,,,2207,0,0,9,False,,,"Lessons from building an AI education system for students — the tools, the curriculum, and what 2026 learners actually need to know."
arcanea-building-worlds-ai-agents,arcanea-building-worlds-ai-agents.mdx,published_tree,Arcanea: Building Worlds with AI Agents,2026-03-21,FrankX,Creator Systems,false,/images/arcanea/arcanea-grand-academy.png,True,/images/arcanea/arcanea-grand-academy.png,raster_other,,,,,,2161,0,0,6,False,,,"How I built a fantasy civilization with 5 Eldrian characters, 10 Gates, and a living world-state — using Claude Code, Gemini, and agentic workflows."
best-ai-affiliate-programs-2026,best-ai-affiliate-programs-2026.mdx,published_tree,The Best AI and MCP Affiliate Programs in 2026 (Ranked by What Actually Pays),2026-06-06,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-affiliate-programs-2026-hero-v6.jpg,False,/images/blog/best-ai-affiliate-programs-2026-hero-v5.jpg,raster_other,,,,,,2087,0,0,4,False,,,"A ranked, economics-first guide to AI and MCP affiliate programs in 2026 — recurring vs one-time, the honest dead-ends, and the 3-network setup that replaces signing up to 30 sites."
best-ai-browser-2026,best-ai-browser-2026.mdx,published_tree,Best AI Browser 2026: ChatGPT Atlas vs Perplexity Comet vs Dia,2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-browser-2026-hero-v6.jpg,False,/images/blog/best-ai-browser-2026-hero-v5.jpg,raster_other,/images/blog/visual-system/best-ai-browser-2026-hero.svg,repo-native-svg,accepted,"FrankX editorial visual for ""Best AI Browser 2026: ChatGPT Atlas vs Perplexity Comet vs Dia"" using dark-first architecture, emerald/cyan spectrum, exact readable title, no stock people, no generic AI shapes.",,2387,0,0,5,False,,,"A current, honest comparison of the 2026 AI browsers — ChatGPT Atlas, Perplexity Comet (free since March), and Dia — on agentic browsing, assistant quality, privacy, price, and platform. Plus where Ge"
best-ai-coding-tools-for-beginners-2026,best-ai-coding-tools-for-beginners-2026.mdx,published_tree,Best AI Coding Tool for Beginners 2026: Cursor vs GitHub Copilot vs Replit Agent,2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-coding-tools-for-beginners-2026-hero-v6.jpg,False,/images/blog/best-ai-coding-tools-for-beginners-2026-hero-v5.jpg,raster_other,/images/blog/visual-system/best-ai-coding-tools-for-beginners-2026-hero.svg,repo-native-svg,accepted,"FrankX editorial visual for ""Best AI Coding Tool for Beginners 2026: Cursor vs GitHub Copilot vs Replit Agent"" using dark-first architecture, emerald/cyan spectrum, exact readable title, no stock people, no generic AI shapes.",,2033,0,0,4,False,,,"An honest comparison of Cursor, GitHub Copilot, and Replit Agent for people learning to code or shipping their first app — learning curve, free tiers, real prices, and which one a non-coder can actual"
best-ai-headshot-generator-2026,best-ai-headshot-generator-2026.mdx,published_tree,Best AI Headshot Generator 2026: Aragon vs HeadshotPro vs The Photo AI (Tested),2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-headshot-generator-2026-hero-v6.jpg,False,/images/blog/best-ai-headshot-generator-2026-hero-v5.jpg,raster_other,/images/blog/visual-system/best-ai-headshot-generator-2026-hero.svg,repo-native-svg,accepted,"FrankX editorial visual for ""Best AI Headshot Generator 2026: Aragon vs HeadshotPro vs The Photo AI (Tested)"" using dark-first architecture, emerald/cyan spectrum, exact readable title, no stock people, no generic AI shapes.",,1798,0,0,3,False,,,"I tested Aragon AI, HeadshotPro, BetterPic, Photo AI, and the DIY route on realism, price, turnaround, and privacy. Here's the honest pick for LinkedIn, teams, and dating."
best-ai-image-generators-2026,best-ai-image-generators-2026.mdx,published_tree,"Best AI Image Generators in 2026: GPT Image 2, Nano Banana, Midjourney, FLUX",2026-06-05,FrankX,Intelligence Dispatches,false,/images/blog/generated/best-ai-image-generators-2026-premium-hero.png,True,/images/blog/generated/best-ai-image-generators-2026-premium-hero.png,premium_raster,,,,,,2240,0,0,9,False,,,"Every major AI image tool compared — quality, text rendering, pricing, and which to use for photorealism, design, and in-pipeline automation."
best-ai-logo-maker-2026,best-ai-logo-maker-2026.mdx,published_tree,Best AI Logo Maker 2026: Looka vs Canva vs Ideogram vs Recraft,2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-logo-maker-2026-hero-v7.jpg,False,/images/blog/visual-system/best-ai-logo-maker-2026-hero.svg,svg_or_visual_system,/images/blog/visual-system/best-ai-logo-maker-2026-hero.svg,repo-native-svg,accepted,"FrankX editorial visual for ""Best AI Logo Maker 2026: Looka vs Canva vs Ideogram vs Recraft"" using dark-first architecture, emerald/cyan spectrum, exact readable title, no stock people, no generic AI shapes.",,2276,0,0,4,False,,,"A results-first comparison of the best AI logo makers in 2026 — Looka, Canva, Ideogram, and Recraft — judged on vector export, brand kit, licensing, and price. Recraft wins for the file you actually o"
best-ai-meeting-assistant-2026,best-ai-meeting-assistant-2026.mdx,published_tree,Best AI Meeting Assistant 2026: Granola vs Otter vs Fathom vs Fireflies,2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-meeting-assistant-2026-hero-v6.jpg,False,/images/blog/native-premium/headers/best-ai-meeting-assistant-2026-hero.webp,premium_raster,,,,,,2270,0,0,4,False,,,"A results-first comparison of the four AI meeting notetakers worth your money in 2026 — Granola, Otter, Fathom, Fireflies — on accuracy, no-bot vs bot, action items, integrations, privacy, and price."
best-ai-note-taking-tools-2026,best-ai-note-taking-tools-2026.mdx,published_tree,Best AI Note-Taking and Second-Brain Tools 2026: Notion AI vs Mem vs Reflect vs Obsidian,2026-06-07,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-note-taking-tools-2026-hero-v5.jpg,True,/images/blog/best-ai-note-taking-tools-2026-hero-v5.jpg,raster_other,,,,,,1677,0,0,4,False,,,"A results-first comparison of the best AI note-taking and second-brain tools in June 2026 — Notion AI, Mem, Reflect, Obsidian, and meeting tools Granola and Otter — scored on AI quality, retrieval, tr"
best-ai-presentation-maker-2026,best-ai-presentation-maker-2026.mdx,published_tree,Best AI Presentation Maker 2026: Gamma vs Canva vs NotebookLM (and Why Tome Is Gone),2026-06-06,FrankX,Intelligence Dispatches,false,/images/blog/best-ai-presentation-maker-2026-hero-v5.jpg,True,/images/blog/best-ai-presentation-maker-2026-hero-v5.jpg,raster_other,,,,,,1917,0,0,3,False,,,"Gamma, Canva, Beautiful.ai, Plus AI, NotebookLM, and Presentations.ai compared on quality, editability, PPT/Slides export, and price — plus the Tome shutdown most guides still get wrong."
