slug,title,date,publish_status,author,category,featured,agent_hint,last_git_author,last_git_date,last_git_subject,hero_path_final,header_class,image_file_exists,vs_hero,vs_infographic,prompt_used,visual_review_status,content_review_status,word_count,images_in_article,body_svg_count,internal_link_count,seo_completeness_6,priority_score,action_needed,description,file
02-the-soul-frequency-framework,The Creative Frequency Framework: How to Find Your Authentic Creative Voice in the AI Age,2024-08-22,published_tree,Frank,Framework,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/the-soul-frequency-framework-hero-v8.jpg,raster_other,True,,,,pass_heuristic,not_recorded,503,0,0,4,6,15,audit_content_accuracy,"Everyone has a unique creative frequency — a way of expressing that's authentically yours. Here's how to discover yours and use AI to amplify it, not mask it.",02-the-soul-frequency-framework.mdx
acos-v10-autonomous-intelligence,ACOS v10: Autonomous Intelligence — The System That Improves Itself,2026-02-14,published_tree,Frank,Product Updates,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/acos-v10-autonomous-intelligence-hero-v5.jpg,raster_other,True,,,,pass_heuristic,not_recorded,1178,0,0,3,5,15,audit_content_accuracy,ACOS v10 ships 5 new safety and intelligence systems. Intelligence score jumps from 72 to 93. Here's what changed and why it matters for AI-native creators.,acos-v10-autonomous-intelligence.mdx
acos-v11-visual-intelligence-site-integrity,ACOS v11: Visual Intelligence and Site Integrity — What Changed and Why,2026-03-31,published_tree,Frank Riemer,Creator Systems,,frank-or-human,Frank,2026-06-18 13:49:32 +0200,"feat: add social cockpit dashboard, downloads, and newsletters",/images/blog/acos-v11-visual-intelligence-site-integrity.webp,raster_other,True,,,,pass_heuristic,not_recorded,2536,0,0,3,5,15,audit_content_accuracy,"How 8 broken AI-generated images led to a 5-layer quality enforcement system, a 302-page site integrity audit, and a better way to create at scale.",acos-v11-visual-intelligence-site-integrity.mdx
acos-zero-to-production-quickstart,ACOS Quick Start: Zero to Production in 10 Minutes,2026-01-27,published_tree,Frank,Tutorials,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/acos-zero-to-production-quickstart-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,1110,0,0,9,5,15,audit_content_accuracy,"Get Agentic Creator OS running in 10 minutes. Clone, install, configure, and run your first workflow. The fastest path from zero to AI-powered productivity.",acos-zero-to-production-quickstart.mdx
agentic-ai-roadmap-2025,Agentic AI Roadmap 2025: From Studio Rituals to Enterprise Governance,2025-01-22,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-07-01 13:10:12 +0200,feat(email): canonicalize all contact addresses to frank@frankx.ai + /contact rewrite (#194),/images/blog/agentic-ai-roadmap-2025-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,1455,0,0,7,6,15,audit_content_accuracy,"A strategic blueprint for creators, founders, and executives to deploy agentic AI systems in 2025, aligned with the FrankX Intelligence Atlas roadmap.",agentic-ai-roadmap-2025.mdx
agentic-creator-os-complete-guide,The Complete Guide to Agentic Creator OS v6: Your AI Operating System,2026-01-27,published_tree,Frank,Creator Systems,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/agentic-creator-os-complete-guide-hero.jpg,raster_other,True,,,,pass_heuristic,not_recorded,2100,3,0,14,5,15,audit_content_accuracy,"Master the AI operating system that transforms Claude Code into a full creative studio. 25 commands, 80+ skills, swarm intelligence, and auto-activation. The definitive guide.",agentic-creator-os-complete-guide.mdx
agi-2026-opportunities-students-creators,"AGI in 2026: What Current Progress Means for Students, Creators, and Your Career",2026-01-21,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/agi-2026-opportunities-students-creators-hero-v5.jpg,raster_other,True,,,,pass_heuristic,not_recorded,1535,0,0,5,6,15,audit_content_accuracy,"Expert predictions range from 'AGI by 2026' to 'decades away.' Here's what the actual progress means for students, personal growth, and economic opportunities right now.",agi-2026-opportunities-students-creators.mdx
ai-architecture-patterns-solo-builders,AI Architecture Patterns for Solo Builders,2026-03-21,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/editorial/headers/ai-architecture-patterns-solo-builders-hero.webp,raster_other,True,,,,pass_heuristic,not_recorded,2991,0,0,4,5,15,audit_content_accuracy,The system design decisions that matter when one person builds what teams used to require — from monolith to agents.,ai-architecture-patterns-solo-builders.mdx
ai-doesnt-have-to-be-soulless,AI Doesn't Have To Be Soulless (And Here's How I Know),2024-08-22,published_tree,Frank,AI & Creativity,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/ai-doesnt-have-to-be-soulless.png,raster_other,True,,,,pass_heuristic,not_recorded,1347,0,0,7,5,15,audit_content_accuracy,"A 15-year architect's turning point: how collaborative creation with AI revealed a path where technology amplifies human creativity, not replaces it.",ai-doesnt-have-to-be-soulless.mdx
best-ai-video-generators-2026-x-aggregated,Best AI Video Generators June 2026: What Creators on X Are Actually Shipping With,2026-06-12,published_tree,FrankX,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/editorial/headers/best-ai-video-generators-2026-x-aggregated-hero.webp,raster_other,True,,,,pass_heuristic,not_recorded,2125,1,0,4,5,15,audit_content_accuracy,"X-aggregated signals on Higgsfield, Seedance 2.0, Kling 3.0, Veo 3.1, Sora 2, Runway and the rest. Head-to-head on control, audio, value, consistency. Affiliate reality, slop warnings, and the FrankX/",best-ai-video-generators-2026-x-aggregated.mdx
claude-opus-4-6-analysis-2026,Claude Opus 4.6: What Actually Changed and Why It Matters,2026-02-06,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/models/claude-opus-4-6-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,2077,0,0,0,5,15,audit_content_accuracy,"Anthropic's Opus 4.6 brings 1M context, 128K output, adaptive thinking, and a 67% price cut. Technical breakdown with benchmarks, migration guide, and practical implications for builders.",claude-opus-4-6-analysis-2026.mdx
creators-ai-toolkit-workshop,The Creator's AI Toolkit: Build Your Complete Content System,,published_tree,Frank,Workshops,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/creators-ai-toolkit-workshop-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,426,0,0,4,5,15,audit_content_accuracy,"Transform from overwhelmed creator to AI-empowered content machine. Build ideation engines, research pipelines, writing assistants, and distribution automation.",creators-ai-toolkit-workshop.mdx
creators-life-architecture-guide,The Creator's Life Architecture: A System for Whole-Life Mastery,2024-12-22,published_tree,Frank,Consciousness,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/creators-life-architecture-guide-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,1291,0,0,4,5,15,audit_content_accuracy,Most creators optimize one dimension of life while the others crumble. The 7-Pillar system changes that. Here's your complete guide to building an extraordinary life as a creator.,creators-life-architecture-guide.mdx
design-sprint-week-10-visual-identity-competition,Design Sprint: Three AI Teams Compete to Define frankx.ai's Visual Identity,2026-03-02,published_tree,Frank,Creator Systems,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/design-sprint-week-10-visual-identity-competition-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,1100,0,0,3,5,15,audit_content_accuracy,"How I used three competing AI design teams to build a visual identity strategy for frankx.ai — with WebGL shaders, glassmorphism hierarchies, and canvas physics. Real components, real code, real compe",design-sprint-week-10-visual-identity-competition.mdx
frontier-model-landscape-2026-claude-gpt-gemini-deepseek,"Claude, GPT, Gemini, DeepSeek: Which Model for Which Task?",2026-03-21,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/models/claude-opus-4-6-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,2660,0,0,7,5,15,audit_content_accuracy,"Every major frontier model compared — architecture, capabilities, pricing, and which to use for coding, research, creative work, and enterprise deployment.",frontier-model-landscape-2026-claude-gpt-gemini-deepseek.mdx
frontier-model-routing-without-fable-5,You Don't Need Fable 5 to Work on the Frontier. You Need a Model Routing System.,2026-06-17,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-23 04:39:46 +0200,feat(blog): add native premium hero images,/images/blog/native-premium/headers/frontier-model-routing-without-fable-5-hero.webp,premium_raster,True,,,,pass_heuristic,not_recorded,2389,5,4,13,6,15,audit_content_accuracy,"Kilo is right that model freedom matters after the Fable/Mythos shock. The next step is a routed frontier stack: Fable 5, Opus 4.8, GPT-5.5 in Kilo Code, Grok 4.3, Gemini 3.5 Flash in Antigravity, Kim",frontier-model-routing-without-fable-5.mdx
getting-started-agentic-creator-os,Getting Started with Agentic Creator OS,2026-01-21,published_tree,Frank,Tutorials,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/getting-started-agentic-creator-os-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,1389,0,0,6,5,15,audit_content_accuracy,"Set up your own AI operating system in 30 minutes. Step-by-step guide to installing departments, MCP servers, and running your first automated workflow.",getting-started-agentic-creator-os.mdx
iacos-investment-research-os,IACOS: How to Configure Claude Code as Your Investment Research OS,2026-02-14,published_tree,Frank,Creator Systems,true,codex,Frank,2026-05-23 11:59:53 +0200,feat(routing): smart-404 follow-ups — sitemap auto-discovery + merge:gate + 5 aliases + Codex gate fixes,/images/blog/iacos-research-os.png,raster_other,True,,,,pass_heuristic,not_recorded,1487,0,0,3,5,15,audit_content_accuracy,"Turn Claude Code into a dedicated investment research platform with custom skills, agent profiles, MCP servers, and visual intelligence. The complete IACOS setup guide.",iacos-investment-research-os.mdx
misinformation-guardian-hackathon-build-log-2026,"Misinformation Guardian Hackathon Build Log (February 12, 2026)",2026-02-12,published_tree,Frank,AI Architecture,true,frank-or-human,Frank,2026-06-12 00:59:30 +0200,feat: sync latest changes and fix build conflicts,/images/blog/misinformation-guardian-hackathon-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,639,4,0,4,6,15,audit_content_accuracy,"How we went from a Custom GPT experiment to a Gemini Gem live demo in 90 minutes, then translated it into a production blueprint for RealityDiffusion.ai.",misinformation-guardian-hackathon-build-log-2026.mdx
nvidia-ces-2026-physical-ai-revolution,Nvidia CES 2026: Jensen Huang Declares the 'ChatGPT Moment for Physical AI,2026-01-16,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/nvidia-ces-2026-physical-ai-revolution-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,1324,0,0,2,5,15,audit_content_accuracy,"Everything announced at Nvidia's CES 2026 keynote - Rubin platform, Cosmos models, autonomous vehicles, and why physical AI is the next frontier for creators and enterprises.",nvidia-ces-2026-physical-ai-revolution.mdx
nvidia-gtc-2026-ai-architect-breakdown,"NVIDIA GTC 2026: An AI Architect's Breakdown of Vera Rubin, Groq LPUs, and the Agentic Infrastructure Shift",2026-03-17,published_tree,Frank,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/nvidia-physical-ai-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,2320,0,0,6,5,15,audit_content_accuracy,"Seven chips, five racks, one $1 trillion bet. A technical breakdown of NVIDIA GTC 2026 — Vera Rubin, Groq 3 LPUs, Dynamo, NemoClaw — and what enterprise AI architects should do next.",nvidia-gtc-2026-ai-architect-breakdown.mdx
personal-ai-assistant-setup-workshop,Build Your Personal AI Assistant: The Complete Setup Workshop,2026-01-16,published_tree,Frank,Creator Systems,true,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/personal-ai-assistant-setup-workshop-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,390,0,0,4,5,15,audit_content_accuracy,"Create a customized AI development environment from scratch. Learn to configure Claude Code, build CLAUDE.md files, create custom skills, and connect MCP servers to your workflow.",personal-ai-assistant-setup-workshop.mdx
personal-ai-coe-under-100-2026,How to Build a Personal AI Center of Excellence for Under $100 a Month (2026),2026-06-07,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-06-27 13:43:50 +0200,Humanize FrankX brand experience (#205),/images/blog/personal-ai-coe-under-100-2026-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,2689,0,0,4,6,15,audit_content_accuracy,"Enterprise AI Centers of Excellence run on a 6-pillar architecture. The same architecture works for one person at roughly 1/5000th the cost. Here is the exact under-$100 stack, the budget table, and t",personal-ai-coe-under-100-2026.mdx
prompt-engineering-2026-what-still-works,Prompt Engineering in 2026: What Still Works,2026-03-21,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/prompt-engineering-mastery-workshop-hero-v2.png,raster_other,True,,,,pass_heuristic,not_recorded,3146,0,0,11,5,15,audit_content_accuracy,"The prompting techniques that survived the model upgrades — structured output, chain-of-thought, few-shot, and what to stop doing.",prompt-engineering-2026-what-still-works.mdx
prompt-engineering-mastery-workshop,The 5C Framework: Mastering Prompt Engineering for Any AI System,,published_tree,Frank,Workshops,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/prompt-engineering-mastery-workshop-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,430,0,0,4,5,15,audit_content_accuracy,Learn systematic prompt engineering with the 5C Framework. From basic commands to advanced techniques like Chain-of-Thought and Few-Shot Learning. Build your personal prompt template library.,prompt-engineering-mastery-workshop.mdx
reality-architecture-generative-ai-neuroscience,"Reality Architecture: Imagination to Product, Faster with AI",2026-03-21,published_tree,FrankX,Intelligence Dispatches,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/ai-art/neural-network-brain.png,raster_other,True,,,,pass_heuristic,not_recorded,2001,0,0,7,5,15,audit_content_accuracy,Neuroscience of imagination meets generative AI. The 5-phase framework for turning mental models into shipped products — at machine speed.,reality-architecture-generative-ai-neuroscience.mdx
science-of-state-change-music,The Science of Using Music to Change Your State,2025-01-05,published_tree,Frank,Vibe Sessions,true,codex,Frank,2026-05-23 11:59:53 +0200,feat(routing): smart-404 follow-ups — sitemap auto-discovery + merge:gate + 5 aliases + Codex gate fixes,/images/blog/science-of-state-change-music-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,755,0,0,3,6,15,audit_content_accuracy,"How tempo, mode, and lyrics create predictable emotional outcomes—backed by peer-reviewed research",science-of-state-change-music.mdx
soul-frequency-framework,The Creative Frequency Framework: How to Find Your Authentic Creative Voice in the AI Age,2024-08-20,published_tree,Frank,Creativity & Framework,true,frank-or-human,Frank,2026-06-23 04:39:46 +0200,feat(blog): add native premium hero images,/images/blog/native-premium/headers/soul-frequency-framework-hero.webp,premium_raster,True,,,,pass_heuristic,not_recorded,1316,0,0,6,6,15,audit_content_accuracy,"Everyone has a unique creative frequency — a way of expressing that's authentically yours. Here's how to discover yours and use AI to amplify it, not mask it.",soul-frequency-framework.mdx
suno-ai-music-creation-workshop,Create Music Without Musical Training: The Suno AI Music Creation Workshop,2026-01-16,published_tree,Frank,Vibe Sessions,true,frank-or-human,Frank,2026-06-27 13:43:50 +0200,Humanize FrankX brand experience (#205),/images/blog/suno-ai-music-creation-workshop-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,498,0,0,5,5,15,audit_content_accuracy,"Transform your ideas into cinematic soundscapes, meditation-inspired music, and motivation anthems using AI. Learn the 5-Layer Prompt Architecture and aesthetic tuning choices for expressive audio.",suno-ai-music-creation-workshop.mdx
swarm-intelligence-multi-agent-orchestration,Swarm Intelligence: Multi-Agent Orchestration for Creators,2026-01-27,published_tree,Frank,AI Architecture,true,frank-or-human,Frank,2026-06-26 13:39:11 +0200,"feat(arena-hub): elevate Model Arena 3D WebGL, Task Routing Playground, and LLM Hub",/images/blog/swarm-intelligence-multi-agent-orchestration-hero-v8.jpg,raster_other,True,,,,pass_heuristic,not_recorded,1886,0,0,5,5,15,audit_content_accuracy,"Learn the 4 orchestration patterns that make AI agents work together: Pipeline, Parallel, Weighted Synthesis, and Iterative. Real examples from ACOS production use.",swarm-intelligence-multi-agent-orchestration.mdx
the-creative-os,The Creative OS: A Guide to Building Your Creative Operating System,2025-09-27,published_tree,Frank,Creator Systems,true,frank-or-human,Frank,2026-06-12 00:59:30 +0200,feat: sync latest changes and fix build conflicts,/images/blog/the-creative-os-hero.png,raster_other,True,,,,pass_heuristic,not_recorded,1827,0,0,5,5,15,audit_content_accuracy,"Learn how to design and build your own Creative Operating System (Creative OS) to enhance your creativity, productivity, and impact.",the-creative-os.mdx
the-sovereign-curator,The Sovereign Curator: Platform Curation and the Art of Responsible AI Reuse,2026-07-14,published_tree,Frank,Creator Strategy,true,frank-or-human,Frank,2026-07-15 06:05:19 +0200,feat(sync): sync drifted files from dev to production repo,/images/blog/the-sovereign-curator-hero-v11.jpg,premium_raster,True,,,,pass_heuristic,not_recorded,790,0,0,0,4,15,audit_content_accuracy,"Why raw content creation is a commodity in the age of infinite AI noise—and how to build high-leverage curation engines, owned platforms, and responsible attribution networks.",the-sovereign-curator.mdx
ultimate-higgsfield-workflow-2026,"The Ultimate Higgsfield Workflow in 2026: Soul ID, Cinematic Video, and the Claude Code MCP Setup",2026-06-06,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-07-04 13:11:57 +0200,feat(blog): resolve missing and mismatched header images for top-ranking posts (#226),/images/blog/generated/ultimate-higgsfield-workflow-2026-premium-hero.png,premium_raster,True,,,,pass_heuristic,not_recorded,2579,0,0,6,6,15,audit_content_accuracy,"How I run Higgsfield in 2026: one subscription for 30+ video models, Soul ID for character-consistent series, and the MCP that lets Claude Code generate video directly. The full workflow, the ROI math",ultimate-higgsfield-workflow-2026.mdx
ultimate-n8n-workflow-2026,"The Ultimate n8n Workflow in 2026: AI Agents, MCP, and the Automation Backend That Wins",2026-06-07,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-07-04 13:11:57 +0200,feat(blog): resolve missing and mismatched header images for top-ranking posts (#226),/images/blog/generated/ultimate-n8n-workflow-2026-premium-hero.png,premium_raster,True,,,,pass_heuristic,not_recorded,2652,0,0,5,6,15,audit_content_accuracy,"The complete 2026 guide to building production n8n workflows: self-host vs cloud, the AI Agent node, MCP Server Trigger and Client Tool, content repurposing, RAG, and wiring n8n as the action backend ",ultimate-n8n-workflow-2026.mdx
ultimate-perplexity-workflow-2026,"The Ultimate Perplexity Workflow in 2026: Deep Research Setup, Comet, and How to Actually Use It",2026-06-06,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-07-04 13:11:57 +0200,feat(blog): resolve missing and mismatched header images for top-ranking posts (#226),/images/blog/generated/ultimate-perplexity-workflow-2026-premium-hero.png,premium_raster,True,,,,pass_heuristic,not_recorded,2600,0,0,4,6,15,audit_content_accuracy,"The full Perplexity setup that wins in 2026 — Pro vs free, model routing, Spaces, the free Comet browser, and Deep Research. The discover→ground→reason workflow, citation discipline, and who it's actu",ultimate-perplexity-workflow-2026.mdx
voice-ai-agents-2026-elevenlabs-hume-audio,Voice AI Agents in 2026: Build Audio-First Experiences,2026-03-21,published_tree,FrankX,Intelligence Dispatches,false,frank-or-human,Frank,2026-06-12 03:06:11 +0200,feat(affiliate): wire ElevenLabs affiliate link into 8 recommending posts,/images/blog/voice-ai-agents-2026-hero.webp,raster_other,True,,,,pass_heuristic,not_recorded,2753,0,0,9,5,15,audit_content_accuracy,"ElevenLabs, Hume, and the tools turning text into natural speech — for podcasts, products, and AI assistants that talk.",voice-ai-agents-2026-elevenlabs-hume-audio.mdx
30-minute-creator-os-quick-start,The 30-Minute Creator OS: Build Your Minimum Viable Creative System,2026-01-09,published_tree,Frank,Creator Systems,false,frank-or-human,Frank,2026-06-25 15:10:19 +0200,feat(blog): sync batch 22 premium heroes and resolve metadata type-safety,/images/blog/30-minute-creator-os-quick-start.png,raster_other,True,,,,pass_heuristic,not_recorded,1010,0,0,5,5,10,audit_content_accuracy,"Skip the theory. In 30 minutes, you'll have a working creative system with capture, create, and ship workflows. Everything else can wait.",30-minute-creator-os-quick-start.mdx
