slug_or_collection,current_image,has_thumb,quality_est,spectrum,topic_pillar,asset_type,notes,recommended_action,new_premium_candidate,status,generated_or_audited,qualityScore,qualityTier,reviewStatus,storageLocalPath,publicUrl,vercelBlobKey,googleDriveUrl,socialAngle,promptFile
gpt-5-5-analysis-2026,/images/blog/gpt-5-5-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,.svg frontier post; GPT-5.5 leads terminal/agentic (Terminal-Bench ~78-82%), coding index, 1M ctx configs, tool-use heavy workflows,gpt-5-5-analysis-2026-hero-premium.png (session 16.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,
microsoft-mai-frontier-models-2026,/images/blog/microsoft-mai-models-2026-hero.svg,likely,3,tech,strategic-business,hero,Light .svg; Microsoft MAI frontier releases in Azure/OpenAI ecosystem, competitive reasoning/agentic with integration strengths,microsoft-mai-frontier-models-2026-hero-premium.png (session 20.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,,
gpt-oss-analysis-2026,/images/blog/gpt-oss-analysis-2026-hero.svg,likely,3,tech,strategic-business,hero,.svg open variant; GPT-OSS open-weights (e.g. 20B/120B class) highlighting cost/performance, ecosystem, benchmark positions vs closed,gpt-oss-analysis-2026-hero-premium.png (session 19.jpg),adopted-2026-06; wired to .mdx frontmatter + premium.png in public/images/blog/,new-2026-06,adopted,,,,,,,
magnifica-humanitas-benevolent-future-arcanea,/images/blog/generated/magnifica-humanitas-benevolent-future-arcanea-premium-hero.png,yes,9,bridge,benevolent-future,hero,Flagship civilizational intelligence architecture; strongest soul/tech bridge in this batch.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/magnifica-humanitas-benevolent-future-arcanea-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/magnifica-humanitas-benevolent-future-arcanea-premium-hero.png,/images/blog/generated/magnifica-humanitas-benevolent-future-arcanea-premium-hero.png,images/blog/magnifica-humanitas-benevolent-future-arcanea/magnifica-humanitas-benevolent-future-arcanea-premium-hero.png,,founder,content/social/blog/magnifica-humanitas-benevolent-future-arcanea.md
magnifica-humanitas-benevolent-future-arcanea::social-wide,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/wide.png,yes,9,bridge,benevolent-future,social-wide,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/wide.png,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/wide.png,,,founder,content/social/blog/magnifica-humanitas-benevolent-future-arcanea.md
magnifica-humanitas-benevolent-future-arcanea::social-square,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/square.png,yes,9,bridge,benevolent-future,social-square,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/square.png,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/square.png,,,founder,content/social/blog/magnifica-humanitas-benevolent-future-arcanea.md
magnifica-humanitas-benevolent-future-arcanea::social-portrait,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/portrait.png,yes,9,bridge,benevolent-future,social-portrait,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/portrait.png,/images/social/blog/magnifica-humanitas-benevolent-future-arcanea/portrait.png,,,founder,content/social/blog/magnifica-humanitas-benevolent-future-arcanea.md
six-primitives-ai-agent,/images/blog/generated/six-primitives-ai-agent-premium-hero.png,yes,9,tech,agentic-integration,hero,Clean six-module primitive architecture with excellent crop discipline.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/six-primitives-ai-agent-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/six-primitives-ai-agent-premium-hero.png,/images/blog/generated/six-primitives-ai-agent-premium-hero.png,images/blog/six-primitives-ai-agent/six-primitives-ai-agent-premium-hero.png,,developer,content/social/blog/six-primitives-ai-agent.md
six-primitives-ai-agent::social-wide,/images/social/blog/six-primitives-ai-agent/wide.png,yes,9,tech,agentic-integration,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/six-primitives-ai-agent/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/six-primitives-ai-agent/wide.png,/images/social/blog/six-primitives-ai-agent/wide.png,,,developer,content/social/blog/six-primitives-ai-agent.md
six-primitives-ai-agent::social-square,/images/social/blog/six-primitives-ai-agent/square.png,yes,9,tech,agentic-integration,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/six-primitives-ai-agent/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/six-primitives-ai-agent/square.png,/images/social/blog/six-primitives-ai-agent/square.png,,,developer,content/social/blog/six-primitives-ai-agent.md
six-primitives-ai-agent::social-portrait,/images/social/blog/six-primitives-ai-agent/portrait.png,yes,9,tech,agentic-integration,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/six-primitives-ai-agent/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/six-primitives-ai-agent/portrait.png,/images/social/blog/six-primitives-ai-agent/portrait.png,,,developer,content/social/blog/six-primitives-ai-agent.md
vercel-ai-sdk-first-agent-stack,/images/blog/generated/vercel-ai-sdk-first-agent-stack-premium-hero.png,yes,8,tech,agent-stack,hero,Strong agent stack cockpit; minor UI-like details kept abstract enough for hero use.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/vercel-ai-sdk-first-agent-stack-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/vercel-ai-sdk-first-agent-stack-premium-hero.png,/images/blog/generated/vercel-ai-sdk-first-agent-stack-premium-hero.png,images/blog/vercel-ai-sdk-first-agent-stack/vercel-ai-sdk-first-agent-stack-premium-hero.png,,developer,content/social/blog/vercel-ai-sdk-first-agent-stack.md
vercel-ai-sdk-first-agent-stack::social-wide,/images/social/blog/vercel-ai-sdk-first-agent-stack/wide.png,yes,8,tech,agent-stack,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/vercel-ai-sdk-first-agent-stack/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/vercel-ai-sdk-first-agent-stack/wide.png,/images/social/blog/vercel-ai-sdk-first-agent-stack/wide.png,,,developer,content/social/blog/vercel-ai-sdk-first-agent-stack.md
vercel-ai-sdk-first-agent-stack::social-square,/images/social/blog/vercel-ai-sdk-first-agent-stack/square.png,yes,8,tech,agent-stack,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/vercel-ai-sdk-first-agent-stack/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/vercel-ai-sdk-first-agent-stack/square.png,/images/social/blog/vercel-ai-sdk-first-agent-stack/square.png,,,developer,content/social/blog/vercel-ai-sdk-first-agent-stack.md
vercel-ai-sdk-first-agent-stack::social-portrait,/images/social/blog/vercel-ai-sdk-first-agent-stack/portrait.png,yes,8,tech,agent-stack,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/vercel-ai-sdk-first-agent-stack/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/vercel-ai-sdk-first-agent-stack/portrait.png,/images/social/blog/vercel-ai-sdk-first-agent-stack/portrait.png,,,developer,content/social/blog/vercel-ai-sdk-first-agent-stack.md
frankx-intelligence-atlas-volume-1,/images/blog/generated/frankx-intelligence-atlas-volume-1-premium-hero.png,yes,9,bridge,intelligence-atlas,hero,Flagship intelligence-map composition with investor/research energy.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/frankx-intelligence-atlas-volume-1-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/frankx-intelligence-atlas-volume-1-premium-hero.png,/images/blog/generated/frankx-intelligence-atlas-volume-1-premium-hero.png,images/blog/frankx-intelligence-atlas-volume-1/frankx-intelligence-atlas-volume-1-premium-hero.png,,investor,content/social/blog/frankx-intelligence-atlas-volume-1.md
frankx-intelligence-atlas-volume-1::social-wide,/images/social/blog/frankx-intelligence-atlas-volume-1/wide.png,yes,9,bridge,intelligence-atlas,social-wide,Deterministic overlay social derivative for investor angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/frankx-intelligence-atlas-volume-1/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/frankx-intelligence-atlas-volume-1/wide.png,/images/social/blog/frankx-intelligence-atlas-volume-1/wide.png,,,investor,content/social/blog/frankx-intelligence-atlas-volume-1.md
frankx-intelligence-atlas-volume-1::social-square,/images/social/blog/frankx-intelligence-atlas-volume-1/square.png,yes,9,bridge,intelligence-atlas,social-square,Deterministic overlay social derivative for investor angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/frankx-intelligence-atlas-volume-1/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/frankx-intelligence-atlas-volume-1/square.png,/images/social/blog/frankx-intelligence-atlas-volume-1/square.png,,,investor,content/social/blog/frankx-intelligence-atlas-volume-1.md
frankx-intelligence-atlas-volume-1::social-portrait,/images/social/blog/frankx-intelligence-atlas-volume-1/portrait.png,yes,9,bridge,intelligence-atlas,social-portrait,Deterministic overlay social derivative for investor angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/frankx-intelligence-atlas-volume-1/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/frankx-intelligence-atlas-volume-1/portrait.png,/images/social/blog/frankx-intelligence-atlas-volume-1/portrait.png,,,investor,content/social/blog/frankx-intelligence-atlas-volume-1.md
claude-fable-5-analysis-2026,/images/blog/generated/claude-fable-5-analysis-2026-premium-hero.png,yes,8,tech,model-intelligence,hero,Evaluation cockpit works for model-analysis framing.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/claude-fable-5-analysis-2026-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/claude-fable-5-analysis-2026-premium-hero.png,/images/blog/generated/claude-fable-5-analysis-2026-premium-hero.png,images/blog/claude-fable-5-analysis-2026/claude-fable-5-analysis-2026-premium-hero.png,,builder,content/social/blog/claude-fable-5-analysis-2026.md
claude-fable-5-analysis-2026::social-wide,/images/social/blog/claude-fable-5-analysis-2026/wide.png,yes,8,tech,model-intelligence,social-wide,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-analysis-2026/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-analysis-2026/wide.png,/images/social/blog/claude-fable-5-analysis-2026/wide.png,,,builder,content/social/blog/claude-fable-5-analysis-2026.md
claude-fable-5-analysis-2026::social-square,/images/social/blog/claude-fable-5-analysis-2026/square.png,yes,8,tech,model-intelligence,social-square,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-analysis-2026/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-analysis-2026/square.png,/images/social/blog/claude-fable-5-analysis-2026/square.png,,,builder,content/social/blog/claude-fable-5-analysis-2026.md
claude-fable-5-analysis-2026::social-portrait,/images/social/blog/claude-fable-5-analysis-2026/portrait.png,yes,8,tech,model-intelligence,social-portrait,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-analysis-2026/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-analysis-2026/portrait.png,/images/social/blog/claude-fable-5-analysis-2026/portrait.png,,,builder,content/social/blog/claude-fable-5-analysis-2026.md
claude-fable-5-prompting-guide,/images/blog/generated/claude-fable-5-prompting-guide-premium-hero.png,yes,8,tech,prompting-systems,hero,Good prompting workflow map with clear hub-and-spoke structure.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/claude-fable-5-prompting-guide-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/claude-fable-5-prompting-guide-premium-hero.png,/images/blog/generated/claude-fable-5-prompting-guide-premium-hero.png,images/blog/claude-fable-5-prompting-guide/claude-fable-5-prompting-guide-premium-hero.png,,creator,content/social/blog/claude-fable-5-prompting-guide.md
claude-fable-5-prompting-guide::social-wide,/images/social/blog/claude-fable-5-prompting-guide/wide.png,yes,8,tech,prompting-systems,social-wide,Deterministic overlay social derivative for creator angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-prompting-guide/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-prompting-guide/wide.png,/images/social/blog/claude-fable-5-prompting-guide/wide.png,,,creator,content/social/blog/claude-fable-5-prompting-guide.md
claude-fable-5-prompting-guide::social-square,/images/social/blog/claude-fable-5-prompting-guide/square.png,yes,8,tech,prompting-systems,social-square,Deterministic overlay social derivative for creator angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-prompting-guide/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-prompting-guide/square.png,/images/social/blog/claude-fable-5-prompting-guide/square.png,,,creator,content/social/blog/claude-fable-5-prompting-guide.md
claude-fable-5-prompting-guide::social-portrait,/images/social/blog/claude-fable-5-prompting-guide/portrait.png,yes,8,tech,prompting-systems,social-portrait,Deterministic overlay social derivative for creator angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-fable-5-prompting-guide/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-fable-5-prompting-guide/portrait.png,/images/social/blog/claude-fable-5-prompting-guide/portrait.png,,,creator,content/social/blog/claude-fable-5-prompting-guide.md
llm-evals-claude-code-guide,/images/blog/generated/llm-evals-claude-code-guide-premium-hero.png,yes,8,tech,evals,hero,Evaluation/control-room visual fits the guide and social derivative overlays.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/llm-evals-claude-code-guide-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/llm-evals-claude-code-guide-premium-hero.png,/images/blog/generated/llm-evals-claude-code-guide-premium-hero.png,images/blog/llm-evals-claude-code-guide/llm-evals-claude-code-guide-premium-hero.png,,developer,content/social/blog/llm-evals-claude-code-guide.md
llm-evals-claude-code-guide::social-wide,/images/social/blog/llm-evals-claude-code-guide/wide.png,yes,8,tech,evals,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/llm-evals-claude-code-guide/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/llm-evals-claude-code-guide/wide.png,/images/social/blog/llm-evals-claude-code-guide/wide.png,,,developer,content/social/blog/llm-evals-claude-code-guide.md
llm-evals-claude-code-guide::social-square,/images/social/blog/llm-evals-claude-code-guide/square.png,yes,8,tech,evals,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/llm-evals-claude-code-guide/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/llm-evals-claude-code-guide/square.png,/images/social/blog/llm-evals-claude-code-guide/square.png,,,developer,content/social/blog/llm-evals-claude-code-guide.md
